array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000285,0.000286,0.000001,0.000285,0.000287,0.000287,1.7972,SVE
1024,0.000554,0.000554,0.000000,0.000554,0.000555,0.000555,1.8475,SVE
2048,0.001104,0.001104,0.000001,0.001104,0.001106,0.001106,1.8551,SVE
4096,0.002202,0.002204,0.000003,0.002201,0.002208,0.002208,1.8598,SVE
8192,0.004408,0.004408,0.000001,0.004408,0.004410,0.004410,1.8585,SVE
12288,0.006605,0.006604,0.000002,0.006602,0.006605,0.006605,1.8604,SVE
16384,0.008798,0.008798,0.000001,0.008797,0.008799,0.008799,1.8623,SVE
20480,0.010998,0.011001,0.000005,0.010997,0.011008,0.011007,1.8621,SVE
24576,0.013200,0.013199,0.000002,0.013197,0.013202,0.013201,1.8619,SVE
28672,0.015401,0.015401,0.000001,0.015401,0.015402,0.015402,1.8617,SVE
32768,0.017598,0.017596,0.000002,0.017593,0.017598,0.017598,1.8620,SVE
40960,0.022000,0.022000,0.000003,0.021997,0.022003,0.022003,1.8618,SVE
49152,0.026398,0.026398,0.000001,0.026397,0.026399,0.026399,1.8620,SVE
57344,0.030797,0.030796,0.000001,0.030795,0.030798,0.030798,1.8620,SVE
65536,0.035185,0.035185,0.000000,0.035185,0.035185,0.035185,1.8626,SVE
