array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000190,0.000190,0.000001,0.000190,0.000192,0.000192,2.6984,SVE2
1024,0.000381,0.000382,0.000002,0.000381,0.000384,0.000384,2.6843,SVE2
2048,0.000766,0.000766,0.000000,0.000765,0.000766,0.000766,2.6743,SVE2
4096,0.001522,0.001522,0.000002,0.001520,0.001524,0.001524,2.6910,SVE2
8192,0.003058,0.003060,0.000005,0.003054,0.003067,0.003067,2.6790,SVE2
12288,0.004745,0.004745,0.000005,0.004739,0.004752,0.004752,2.5897,SVE2
16384,0.006120,0.006119,0.000002,0.006117,0.006121,0.006121,2.6772,SVE2
20480,0.007645,0.007645,0.000003,0.007642,0.007648,0.007648,2.6790,SVE2
24576,0.009284,0.009283,0.000001,0.009281,0.009284,0.009284,2.6472,SVE2
28672,0.010817,0.010816,0.000001,0.010815,0.010817,0.010817,2.6507,SVE2
32768,0.012401,0.012398,0.000003,0.012394,0.012401,0.012401,2.6425,SVE2
40960,0.015607,0.015606,0.000001,0.015604,0.015607,0.015607,2.6244,SVE2
49152,0.018679,0.018676,0.000006,0.018668,0.018681,0.018681,2.6314,SVE2
57344,0.021820,0.021820,0.000003,0.021815,0.021823,0.021823,2.6280,SVE2
65536,0.024745,0.024745,0.000002,0.024742,0.024747,0.024747,2.6485,SVE2
