array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000013,0.000001,0.000012,0.000014,0.000014,41.2704,AVX
1024,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,43.3204,AVX
2048,0.000055,0.000055,0.000000,0.000055,0.000055,0.000055,37.5562,AVX
4096,0.000132,0.000135,0.000006,0.000129,0.000143,0.000143,31.0070,AVX
8192,0.000383,0.000384,0.000001,0.000383,0.000385,0.000385,21.4023,AVX
12288,0.000575,0.000575,0.000004,0.000571,0.000581,0.000581,21.3827,AVX
16384,0.000761,0.000763,0.000003,0.000761,0.000767,0.000767,21.5219,AVX
20480,0.000947,0.000947,0.000001,0.000947,0.000948,0.000948,21.6206,AVX
24576,0.001137,0.001141,0.000006,0.001136,0.001149,0.001149,21.6095,AVX
28672,0.001327,0.001327,0.000001,0.001326,0.001328,0.001328,21.6122,AVX
32768,0.001336,0.001350,0.000021,0.001334,0.001380,0.001379,24.5286,AVX
40960,0.001602,0.001602,0.000008,0.001592,0.001611,0.001611,25.5739,AVX
49152,0.001913,0.001910,0.000009,0.001897,0.001919,0.001919,25.6958,AVX
57344,0.002227,0.002228,0.000009,0.002217,0.002239,0.002239,25.7539,AVX
65536,0.002436,0.002435,0.000006,0.002427,0.002442,0.002442,26.9002,AVX
