array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000012,0.000000,0.000012,0.000012,0.000012,41.1443,AVX2
1024,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,42.0330,AVX2
2048,0.000064,0.000064,0.000000,0.000063,0.000064,0.000064,32.2410,AVX2
4096,0.000119,0.000117,0.000004,0.000112,0.000121,0.000121,34.4077,AVX2
8192,0.000388,0.000388,0.000002,0.000385,0.000390,0.000390,21.1146,AVX2
12288,0.000580,0.000580,0.000001,0.000580,0.000582,0.000582,21.1913,AVX2
16384,0.000767,0.000767,0.000002,0.000765,0.000768,0.000768,21.3658,AVX2
20480,0.000954,0.000953,0.000002,0.000951,0.000954,0.000954,21.4743,AVX2
24576,0.001143,0.001143,0.000003,0.001140,0.001147,0.001147,21.5094,AVX2
28672,0.001331,0.001331,0.000001,0.001331,0.001332,0.001332,21.5465,AVX2
32768,0.001291,0.001324,0.000051,0.001285,0.001396,0.001394,25.3748,AVX2
40960,0.001590,0.001589,0.000002,0.001587,0.001591,0.001591,25.7585,AVX2
49152,0.001891,0.001899,0.000011,0.001891,0.001914,0.001914,25.9935,AVX2
57344,0.002223,0.002216,0.000011,0.002201,0.002225,0.002225,25.8015,AVX2
65536,0.002576,0.002575,0.000002,0.002572,0.002577,0.002577,25.4455,AVX2
