array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000009,0.000009,0.000000,0.000009,0.000009,0.000009,58.5023,AVX-512F
1024,0.000019,0.000019,0.000000,0.000019,0.000020,0.000020,54.3703,AVX-512F
2048,0.000038,0.000038,0.000000,0.000038,0.000038,0.000038,53.8585,AVX-512F
4096,0.000080,0.000080,0.000000,0.000080,0.000080,0.000080,51.1199,AVX-512F
8192,0.000389,0.000388,0.000002,0.000385,0.000389,0.000389,21.0604,AVX-512F
12288,0.000575,0.000577,0.000004,0.000573,0.000583,0.000583,21.3600,AVX-512F
16384,0.000760,0.000760,0.000001,0.000759,0.000762,0.000762,21.5676,AVX-512F
20480,0.000944,0.000944,0.000001,0.000942,0.000945,0.000945,21.6922,AVX-512F
24576,0.001124,0.001126,0.000004,0.001123,0.001131,0.001131,21.8647,AVX-512F
28672,0.001259,0.001252,0.000016,0.001230,0.001268,0.001268,22.7801,AVX-512F
32768,0.001332,0.001327,0.000012,0.001310,0.001338,0.001338,24.5929,AVX-512F
40960,0.001655,0.001652,0.000005,0.001645,0.001657,0.001656,24.7487,AVX-512F
49152,0.001986,0.001980,0.000012,0.001964,0.001991,0.001991,24.7461,AVX-512F
57344,0.002201,0.002205,0.000005,0.002201,0.002212,0.002212,26.0491,AVX-512F
65536,0.002363,0.002363,0.000003,0.002358,0.002367,0.002366,27.7375,AVX-512F
