array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000111,0.000003,0.000109,0.000115,0.000115,4.6269,Scalar
1024,0.000195,0.000195,0.000000,0.000194,0.000195,0.000195,5.2573,Scalar
2048,0.000390,0.000391,0.000004,0.000388,0.000396,0.000396,5.2486,Scalar
4096,0.000745,0.000746,0.000002,0.000744,0.000748,0.000748,5.5003,Scalar
8192,0.001562,0.001562,0.000003,0.001558,0.001566,0.001565,5.2449,Scalar
12288,0.002354,0.002354,0.000003,0.002351,0.002357,0.002357,5.2201,Scalar
16384,0.003225,0.003226,0.000003,0.003223,0.003230,0.003230,5.0800,Scalar
20480,0.003934,0.003930,0.000007,0.003921,0.003935,0.003935,5.2054,Scalar
24576,0.004717,0.004719,0.000004,0.004716,0.004725,0.004725,5.2105,Scalar
28672,0.005501,0.005563,0.000087,0.005501,0.005687,0.005683,5.2121,Scalar
32768,0.006328,0.006333,0.000035,0.006293,0.006379,0.006378,5.1781,Scalar
40960,0.007911,0.007905,0.000011,0.007891,0.007914,0.007914,5.1774,Scalar
49152,0.009258,0.009314,0.000085,0.009249,0.009435,0.009431,5.3089,Scalar
57344,0.010794,0.010790,0.000005,0.010783,0.010794,0.010794,5.3128,Scalar
65536,0.012332,0.012332,0.000000,0.012332,0.012333,0.012333,5.3141,Scalar
