array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,21.1310,SSE4.2
1024,0.000062,0.000059,0.000004,0.000053,0.000063,0.000063,16.5306,SSE4.2
2048,0.000102,0.000102,0.000001,0.000101,0.000104,0.000104,19.9947,SSE4.2
4096,0.000216,0.000216,0.000001,0.000216,0.000218,0.000218,18.9615,SSE4.2
8192,0.000461,0.000463,0.000005,0.000458,0.000469,0.000469,17.7529,SSE4.2
12288,0.000682,0.000682,0.000001,0.000681,0.000683,0.000683,18.0183,SSE4.2
16384,0.000947,0.000947,0.000000,0.000946,0.000947,0.000947,17.3048,SSE4.2
20480,0.001176,0.001176,0.000001,0.001175,0.001177,0.001177,17.4145,SSE4.2
24576,0.001402,0.001403,0.000002,0.001401,0.001405,0.001405,17.5293,SSE4.2
28672,0.001522,0.001522,0.000002,0.001520,0.001525,0.001525,18.8434,SSE4.2
32768,0.001749,0.001753,0.000007,0.001747,0.001763,0.001762,18.7405,SSE4.2
40960,0.002178,0.002179,0.000001,0.002178,0.002181,0.002181,18.8029,SSE4.2
49152,0.002607,0.002608,0.000004,0.002605,0.002614,0.002613,18.8543,SSE4.2
57344,0.003045,0.003044,0.000001,0.003043,0.003046,0.003046,18.8325,SSE4.2
65536,0.003477,0.003482,0.000007,0.003477,0.003492,0.003492,18.8498,SSE4.2
