array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000524,0.000525,0.000001,0.000524,0.000526,0.000526,0.9776,AVX
1024,0.000812,0.000813,0.000002,0.000811,0.000816,0.000816,1.2611,AVX
2048,0.001377,0.001372,0.000008,0.001360,0.001378,0.001378,1.4874,AVX
4096,0.002440,0.002439,0.000016,0.002418,0.002458,0.002457,1.6785,AVX
8192,0.004701,0.004680,0.000033,0.004634,0.004706,0.004706,1.7426,AVX
12288,0.006780,0.006795,0.000036,0.006760,0.006844,0.006843,1.8124,AVX
16384,0.009008,0.009004,0.000023,0.008973,0.009029,0.009029,1.8188,AVX
20480,0.011132,0.011149,0.000026,0.011129,0.011186,0.011185,1.8398,AVX
24576,0.013347,0.013379,0.000056,0.013333,0.013458,0.013455,1.8414,AVX
28672,0.015568,0.015557,0.000018,0.015532,0.015573,0.015572,1.8417,AVX
32768,0.017716,0.017720,0.000051,0.017660,0.017784,0.017783,1.8496,AVX
40960,0.022105,0.022125,0.000060,0.022064,0.022207,0.022205,1.8529,AVX
49152,0.026584,0.026562,0.000033,0.026516,0.026587,0.026587,1.8489,AVX
57344,0.030908,0.030902,0.000081,0.030800,0.030999,0.030997,1.8553,AVX
65536,0.035232,0.035247,0.000043,0.035202,0.035305,0.035304,1.8601,AVX
