array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000520,0.000520,0.000001,0.000519,0.000521,0.000521,0.9854,AVX2
1024,0.000808,0.000808,0.000002,0.000806,0.000810,0.000810,1.2676,AVX2
2048,0.001349,0.001355,0.000018,0.001337,0.001379,0.001379,1.5186,AVX2
4096,0.002479,0.002476,0.000014,0.002457,0.002491,0.002491,1.6520,AVX2
8192,0.004615,0.004617,0.000034,0.004576,0.004661,0.004660,1.7749,AVX2
12288,0.006811,0.006805,0.000029,0.006767,0.006836,0.006835,1.8042,AVX2
16384,0.009003,0.008992,0.000042,0.008936,0.009037,0.009036,1.8199,AVX2
20480,0.011198,0.011195,0.000046,0.011137,0.011249,0.011248,1.8288,AVX2
24576,0.013415,0.013432,0.000067,0.013360,0.013521,0.013519,1.8320,AVX2
28672,0.015794,0.015765,0.000042,0.015707,0.015796,0.015796,1.8154,AVX2
32768,0.017768,0.017768,0.000074,0.017678,0.017858,0.017856,1.8442,AVX2
40960,0.022054,0.022061,0.000038,0.022019,0.022111,0.022110,1.8572,AVX2
49152,0.026777,0.026766,0.000041,0.026711,0.026810,0.026810,1.8356,AVX2
57344,0.031074,0.031085,0.000051,0.031029,0.031152,0.031151,1.8454,AVX2
65536,0.035580,0.035556,0.000063,0.035470,0.035619,0.035618,1.8419,AVX2
