array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000519,0.000520,0.000004,0.000516,0.000525,0.000524,0.9861,AVX-512F
1024,0.000809,0.000811,0.000003,0.000809,0.000814,0.000814,1.2655,AVX-512F
2048,0.001361,0.001368,0.000012,0.001359,0.001386,0.001385,1.5050,AVX-512F
4096,0.002460,0.002462,0.000007,0.002455,0.002471,0.002471,1.6649,AVX-512F
8192,0.004596,0.004636,0.000055,0.004596,0.004714,0.004711,1.7822,AVX-512F
12288,0.006789,0.006801,0.000018,0.006788,0.006826,0.006825,1.8101,AVX-512F
16384,0.009054,0.009070,0.000024,0.009053,0.009104,0.009103,1.8097,AVX-512F
20480,0.011243,0.011262,0.000028,0.011242,0.011302,0.011300,1.8215,AVX-512F
24576,0.013346,0.013340,0.000019,0.013314,0.013360,0.013360,1.8415,AVX-512F
28672,0.015635,0.015640,0.000062,0.015567,0.015719,0.015717,1.8339,AVX-512F
32768,0.017750,0.017749,0.000043,0.017695,0.017800,0.017799,1.8461,AVX-512F
40960,0.022066,0.022102,0.000051,0.022065,0.022174,0.022172,1.8563,AVX-512F
49152,0.026489,0.026486,0.000016,0.026464,0.026504,0.026503,1.8556,AVX-512F
57344,0.030933,0.030910,0.000141,0.030728,0.031070,0.031067,1.8538,AVX-512F
65536,0.035293,0.035302,0.000083,0.035205,0.035407,0.035405,1.8569,AVX-512F
