array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000538,0.000541,0.000008,0.000534,0.000553,0.000552,0.9519,Scalar
1024,0.000836,0.000836,0.000003,0.000832,0.000839,0.000839,1.2254,Scalar
2048,0.001403,0.001407,0.000005,0.001403,0.001414,0.001414,1.4593,Scalar
4096,0.002462,0.002460,0.000003,0.002456,0.002464,0.002464,1.6639,Scalar
8192,0.004627,0.004621,0.000012,0.004604,0.004632,0.004632,1.7706,Scalar
12288,0.006798,0.006778,0.000031,0.006735,0.006801,0.006801,1.8075,Scalar
16384,0.008937,0.008959,0.000043,0.008922,0.009019,0.009018,1.8333,Scalar
20480,0.011187,0.011205,0.000044,0.011163,0.011266,0.011264,1.8306,Scalar
24576,0.013403,0.013409,0.000027,0.013380,0.013445,0.013445,1.8336,Scalar
28672,0.015493,0.015556,0.000094,0.015485,0.015689,0.015685,1.8506,Scalar
32768,0.017724,0.017747,0.000090,0.017650,0.017867,0.017865,1.8488,Scalar
40960,0.022159,0.022149,0.000021,0.022120,0.022167,0.022167,1.8485,Scalar
49152,0.026574,0.026567,0.000022,0.026536,0.026589,0.026589,1.8496,Scalar
57344,0.030846,0.030870,0.000097,0.030765,0.030999,0.030996,1.8591,Scalar
65536,0.035191,0.035198,0.000033,0.035162,0.035242,0.035241,1.8623,Scalar
