array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000518,0.000517,0.000003,0.000514,0.000521,0.000520,0.9891,SSE2
1024,0.000810,0.000809,0.000002,0.000807,0.000811,0.000811,1.2646,SSE2
2048,0.001373,0.001373,0.000010,0.001360,0.001385,0.001385,1.4922,SSE2
4096,0.002474,0.002468,0.000009,0.002455,0.002475,0.002475,1.6555,SSE2
8192,0.004613,0.004625,0.000029,0.004598,0.004665,0.004664,1.7758,SSE2
12288,0.006864,0.006837,0.000045,0.006773,0.006873,0.006873,1.7902,SSE2
16384,0.009023,0.009066,0.000061,0.009022,0.009153,0.009150,1.8158,SSE2
20480,0.011186,0.011182,0.000063,0.011103,0.011256,0.011255,1.8308,SSE2
24576,0.013400,0.013385,0.000038,0.013332,0.013423,0.013422,1.8341,SSE2
28672,0.015611,0.015575,0.000085,0.015457,0.015656,0.015655,1.8366,SSE2
32768,0.017687,0.017698,0.000067,0.017622,0.017786,0.017784,1.8527,SSE2
40960,0.022118,0.022103,0.000032,0.022058,0.022132,0.022132,1.8519,SSE2
49152,0.026465,0.026459,0.000030,0.026420,0.026493,0.026492,1.8572,SSE2
57344,0.030850,0.030863,0.000077,0.030776,0.030962,0.030960,1.8588,SSE2
65536,0.035160,0.035162,0.000030,0.035127,0.035200,0.035199,1.8639,SSE2
