array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000518,0.000516,0.000002,0.000513,0.000518,0.000518,0.9883,SSE4.2
1024,0.000809,0.000810,0.000002,0.000809,0.000812,0.000812,1.2652,SSE4.2
2048,0.001375,0.001376,0.000006,0.001369,0.001383,0.001383,1.4890,SSE4.2
4096,0.002458,0.002467,0.000018,0.002451,0.002493,0.002492,1.6667,SSE4.2
8192,0.004646,0.004644,0.000036,0.004599,0.004687,0.004686,1.7633,SSE4.2
12288,0.006823,0.006820,0.000016,0.006799,0.006839,0.006839,1.8009,SSE4.2
16384,0.009031,0.009021,0.000044,0.008963,0.009068,0.009068,1.8142,SSE4.2
20480,0.011240,0.011237,0.000029,0.011201,0.011271,0.011270,1.8221,SSE4.2
24576,0.013416,0.013370,0.000067,0.013276,0.013420,0.013420,1.8319,SSE4.2
28672,0.015512,0.015549,0.000096,0.015455,0.015681,0.015678,1.8484,SSE4.2
32768,0.017746,0.017755,0.000037,0.017715,0.017805,0.017804,1.8465,SSE4.2
40960,0.022077,0.022083,0.000014,0.022070,0.022103,0.022103,1.8553,SSE4.2
49152,0.026525,0.026528,0.000039,0.026482,0.026577,0.026576,1.8530,SSE4.2
57344,0.030830,0.030834,0.000064,0.030758,0.030915,0.030913,1.8600,SSE4.2
65536,0.035103,0.035158,0.000147,0.035011,0.035359,0.035353,1.8670,SSE4.2
