array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000800,0.000798,0.000002,0.000795,0.000800,0.000800,0.6404,AVX
1024,0.001614,0.001608,0.000009,0.001594,0.001615,0.001615,0.6346,AVX
2048,0.003227,0.003228,0.000002,0.003225,0.003231,0.003231,0.6346,AVX
4096,0.006444,0.006446,0.000006,0.006441,0.006454,0.006454,0.6356,AVX
8192,0.012915,0.012913,0.000009,0.012901,0.012924,0.012924,0.6343,AVX
12288,0.019061,0.019019,0.000081,0.018905,0.019091,0.019090,0.6447,AVX
16384,0.025353,0.025315,0.000315,0.024912,0.025680,0.025674,0.6462,AVX
20480,0.032318,0.031814,0.000735,0.030775,0.032349,0.032349,0.6337,AVX
24576,0.038869,0.038873,0.000011,0.038862,0.038888,0.038888,0.6323,AVX
28672,0.045277,0.045308,0.000050,0.045270,0.045379,0.045377,0.6333,AVX
32768,0.051877,0.051897,0.000137,0.051739,0.052074,0.052070,0.6316,AVX
40960,0.064682,0.064636,0.000100,0.064498,0.064729,0.064728,0.6333,AVX
49152,0.077572,0.077574,0.000055,0.077507,0.077643,0.077641,0.6336,AVX
57344,0.090501,0.089764,0.001068,0.088255,0.090537,0.090536,0.6336,AVX
65536,0.100231,0.100743,0.000914,0.099971,0.102027,0.101991,0.6539,AVX
