array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000517,0.000516,0.000006,0.000509,0.000523,0.000523,0.9903,AVX2
1024,0.001042,0.001035,0.000010,0.001021,0.001043,0.001043,0.9828,AVX2
2048,0.002087,0.002087,0.000001,0.002086,0.002087,0.002087,0.9812,AVX2
4096,0.004220,0.004229,0.000022,0.004207,0.004260,0.004259,0.9706,AVX2
8192,0.008387,0.008400,0.000019,0.008387,0.008427,0.008426,0.9767,AVX2
12288,0.012568,0.012571,0.000006,0.012565,0.012580,0.012580,0.9777,AVX2
16384,0.016714,0.016717,0.000006,0.016711,0.016725,0.016724,0.9802,AVX2
20480,0.021026,0.021013,0.000080,0.020908,0.021104,0.021102,0.9740,AVX2
24576,0.025077,0.025072,0.000023,0.025042,0.025097,0.025097,0.9800,AVX2
28672,0.029243,0.029257,0.000075,0.029174,0.029355,0.029352,0.9805,AVX2
32768,0.033336,0.033331,0.000015,0.033310,0.033346,0.033346,0.9830,AVX2
40960,0.041717,0.041707,0.000018,0.041681,0.041722,0.041722,0.9818,AVX2
49152,0.050070,0.050169,0.000221,0.049961,0.050475,0.050467,0.9817,AVX2
57344,0.058362,0.058369,0.000031,0.058335,0.058410,0.058409,0.9826,AVX2
65536,0.066735,0.066738,0.000017,0.066719,0.066761,0.066761,0.9820,AVX2
