array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000292,0.000292,0.000002,0.000291,0.000294,0.000294,1.7559,AVX-512F
1024,0.000573,0.000573,0.000003,0.000569,0.000576,0.000576,1.7860,AVX-512F
2048,0.001146,0.001146,0.000001,0.001144,0.001147,0.001147,1.7874,AVX-512F
4096,0.002316,0.002312,0.000007,0.002302,0.002318,0.002318,1.7685,AVX-512F
8192,0.004650,0.004651,0.000003,0.004648,0.004655,0.004655,1.7617,AVX-512F
12288,0.006969,0.006968,0.000001,0.006967,0.006970,0.006970,1.7632,AVX-512F
16384,0.009279,0.009279,0.000003,0.009275,0.009282,0.009282,1.7657,AVX-512F
20480,0.011615,0.011613,0.000003,0.011609,0.011616,0.011616,1.7632,AVX-512F
24576,0.013934,0.013935,0.000007,0.013927,0.013944,0.013944,1.7638,AVX-512F
28672,0.016263,0.016265,0.000015,0.016248,0.016285,0.016285,1.7630,AVX-512F
32768,0.018590,0.018590,0.000002,0.018588,0.018592,0.018592,1.7626,AVX-512F
40960,0.023253,0.023253,0.000000,0.023253,0.023254,0.023254,1.7615,AVX-512F
49152,0.027895,0.027894,0.000008,0.027884,0.027905,0.027904,1.7621,AVX-512F
57344,0.032560,0.032555,0.000010,0.032540,0.032564,0.032564,1.7612,AVX-512F
65536,0.037200,0.037186,0.000021,0.037157,0.037202,0.037202,1.7617,AVX-512F
