array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001244,0.001244,0.000002,0.001241,0.001247,0.001247,0.4116,Scalar
1024,0.002496,0.002496,0.000003,0.002492,0.002500,0.002500,0.4102,Scalar
2048,0.005004,0.005003,0.000002,0.005001,0.005005,0.005005,0.4093,Scalar
4096,0.010006,0.009999,0.000010,0.009985,0.010007,0.010007,0.4094,Scalar
8192,0.020006,0.020020,0.000038,0.019981,0.020072,0.020070,0.4095,Scalar
12288,0.030061,0.030075,0.000035,0.030040,0.030123,0.030121,0.4088,Scalar
16384,0.040046,0.040058,0.000064,0.039986,0.040142,0.040140,0.4091,Scalar
20480,0.050055,0.050055,0.000023,0.050028,0.050083,0.050083,0.4091,Scalar
24576,0.060106,0.060123,0.000028,0.060101,0.060162,0.060161,0.4089,Scalar
28672,0.070277,0.070274,0.000010,0.070259,0.070284,0.070284,0.4080,Scalar
32768,0.079964,0.080083,0.000173,0.079958,0.080329,0.080321,0.4098,Scalar
40960,0.100281,0.100323,0.000346,0.099922,0.100767,0.100757,0.4085,Scalar
49152,0.120026,0.119993,0.000053,0.119918,0.120033,0.120033,0.4095,Scalar
57344,0.140057,0.140086,0.000215,0.139839,0.140362,0.140356,0.4094,Scalar
65536,0.160355,0.160330,0.000117,0.160176,0.160459,0.160457,0.4087,Scalar
