array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001246,0.001267,0.000042,0.001229,0.001325,0.001323,0.4108,SSE2
1024,0.002542,0.002524,0.000025,0.002488,0.002543,0.002543,0.4029,SSE2
2048,0.004999,0.005010,0.000158,0.004823,0.005209,0.005204,0.4097,SSE2
4096,0.009739,0.009804,0.000104,0.009722,0.009951,0.009947,0.4206,SSE2
8192,0.019970,0.019960,0.000017,0.019936,0.019972,0.019972,0.4102,SSE2
12288,0.029949,0.029941,0.000022,0.029911,0.029962,0.029962,0.4103,SSE2
16384,0.039925,0.039926,0.000039,0.039879,0.039974,0.039973,0.4104,SSE2
20480,0.050072,0.050101,0.000121,0.049970,0.050261,0.050258,0.4090,SSE2
24576,0.059902,0.059941,0.000083,0.059864,0.060055,0.060052,0.4103,SSE2
28672,0.069831,0.069844,0.000073,0.069761,0.069938,0.069936,0.4106,SSE2
32768,0.080047,0.080064,0.000048,0.080015,0.080130,0.080128,0.4094,SSE2
40960,0.100225,0.100258,0.000053,0.100218,0.100333,0.100331,0.4087,SSE2
49152,0.120110,0.120138,0.000070,0.120070,0.120233,0.120231,0.4092,SSE2
57344,0.140580,0.140635,0.000577,0.139958,0.141367,0.141351,0.4079,SSE2
65536,0.159919,0.160642,0.001036,0.159901,0.162107,0.162063,0.4098,SSE2
