array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001291,0.001289,0.000004,0.001283,0.001292,0.001292,0.3964,SSE4.2
1024,0.002576,0.002573,0.000006,0.002565,0.002578,0.002578,0.3975,SSE4.2
2048,0.005009,0.005020,0.000019,0.005004,0.005046,0.005045,0.4088,SSE4.2
4096,0.010010,0.010009,0.000008,0.009999,0.010017,0.010017,0.4092,SSE4.2
8192,0.020055,0.020036,0.000040,0.019981,0.020074,0.020074,0.4085,SSE4.2
12288,0.029998,0.030012,0.000056,0.029951,0.030087,0.030085,0.4096,SSE4.2
16384,0.039857,0.039879,0.000036,0.039850,0.039930,0.039928,0.4111,SSE4.2
20480,0.049900,0.049899,0.000022,0.049872,0.049925,0.049925,0.4104,SSE4.2
24576,0.059879,0.059877,0.000012,0.059861,0.059889,0.059889,0.4104,SSE4.2
28672,0.069942,0.069959,0.000027,0.069939,0.069997,0.069996,0.4099,SSE4.2
32768,0.079850,0.079821,0.000050,0.079750,0.079862,0.079862,0.4104,SSE4.2
40960,0.099892,0.099870,0.000059,0.099788,0.099929,0.099928,0.4100,SSE4.2
49152,0.119807,0.119797,0.000074,0.119702,0.119882,0.119881,0.4103,SSE4.2
57344,0.139777,0.139723,0.000090,0.139596,0.139796,0.139796,0.4103,SSE4.2
65536,0.159636,0.159620,0.000096,0.159495,0.159729,0.159727,0.4105,SSE4.2
