array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.012929,0.012939,0.000031,0.012906,0.012981,0.012980,0.0396,AVX
1024,0.012981,0.012991,0.000017,0.012978,0.013015,0.013015,0.0789,AVX
2048,0.013263,0.013232,0.000046,0.013166,0.013266,0.013266,0.1544,AVX
4096,0.013569,0.013622,0.000091,0.013547,0.013750,0.013746,0.3019,AVX
8192,0.014291,0.014293,0.000009,0.014283,0.014305,0.014305,0.5732,AVX
12288,0.015106,0.015168,0.000095,0.015096,0.015303,0.015299,0.8135,AVX
16384,0.015805,0.015803,0.000006,0.015795,0.015810,0.015810,1.0366,AVX
20480,0.016561,0.016536,0.000095,0.016409,0.016639,0.016637,1.2366,AVX
24576,0.017167,0.017192,0.000043,0.017158,0.017252,0.017251,1.4316,AVX
28672,0.017933,0.017938,0.000008,0.017932,0.017949,0.017949,1.5988,AVX
32768,0.018672,0.018698,0.000039,0.018669,0.018753,0.018751,1.7549,AVX
40960,0.020117,0.020156,0.000071,0.020095,0.020256,0.020253,2.0361,AVX
49152,0.021520,0.021574,0.000084,0.021510,0.021693,0.021690,2.2840,AVX
57344,0.023060,0.023077,0.000030,0.023052,0.023119,0.023117,2.4868,AVX
65536,0.024439,0.024483,0.000081,0.024412,0.024597,0.024593,2.6816,AVX
