array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.003617,0.003686,0.000233,0.003442,0.003999,0.003992,0.1416,AVX-512F
1024,0.003399,0.003384,0.000037,0.003332,0.003420,0.003419,0.3013,AVX-512F
2048,0.003609,0.003609,0.000002,0.003606,0.003611,0.003611,0.5675,AVX-512F
4096,0.004279,0.004282,0.000010,0.004272,0.004295,0.004295,0.9572,AVX-512F
8192,0.005024,0.005019,0.000015,0.004999,0.005034,0.005034,1.6304,AVX-512F
12288,0.005462,0.005460,0.000003,0.005457,0.005462,0.005462,2.2498,AVX-512F
16384,0.006499,0.006499,0.000023,0.006471,0.006527,0.006527,2.5209,AVX-512F
20480,0.006942,0.006941,0.000005,0.006935,0.006948,0.006947,2.9501,AVX-512F
24576,0.007666,0.007670,0.000019,0.007648,0.007694,0.007694,3.2059,AVX-512F
28672,0.008387,0.008390,0.000006,0.008386,0.008398,0.008398,3.4188,AVX-512F
32768,0.009123,0.009124,0.000006,0.009117,0.009131,0.009131,3.5917,AVX-512F
40960,0.010824,0.010826,0.000012,0.010812,0.010842,0.010842,3.7840,AVX-512F
49152,0.012411,0.012421,0.000054,0.012360,0.012491,0.012489,3.9603,AVX-512F
57344,0.014081,0.014081,0.000004,0.014076,0.014085,0.014085,4.0725,AVX-512F
65536,0.015109,0.015109,0.000021,0.015082,0.015135,0.015134,4.3374,AVX-512F
