array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.012594,0.012590,0.000013,0.012573,0.012604,0.012604,0.0407,SSE2
1024,0.012722,0.012724,0.000062,0.012649,0.012802,0.012800,0.0805,SSE2
2048,0.012853,0.012824,0.000056,0.012745,0.012872,0.012872,0.1593,SSE2
4096,0.012951,0.013048,0.000139,0.012949,0.013245,0.013239,0.3163,SSE2
8192,0.013546,0.013550,0.000052,0.013488,0.013615,0.013614,0.6048,SSE2
12288,0.013996,0.013991,0.000036,0.013944,0.014033,0.014032,0.8780,SSE2
16384,0.014229,0.014249,0.000029,0.014229,0.014290,0.014288,1.1514,SSE2
20480,0.014683,0.014681,0.000005,0.014675,0.014686,0.014686,1.3949,SSE2
24576,0.015153,0.015155,0.000003,0.015152,0.015159,0.015159,1.6218,SSE2
28672,0.015617,0.015617,0.000001,0.015617,0.015618,0.015618,1.8359,SSE2
32768,0.016090,0.016089,0.000007,0.016080,0.016097,0.016097,2.0365,SSE2
40960,0.017011,0.017014,0.000005,0.017009,0.017021,0.017020,2.4078,SSE2
49152,0.017950,0.017954,0.000010,0.017944,0.017968,0.017968,2.7383,SSE2
57344,0.018887,0.018883,0.000006,0.018874,0.018889,0.018888,3.0362,SSE2
65536,0.019844,0.019842,0.000004,0.019837,0.019845,0.019845,3.3026,SSE2
