array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000606,0.000618,0.000019,0.000603,0.000645,0.000644,0.8455,AVX2
1024,0.000957,0.000956,0.000008,0.000945,0.000965,0.000965,1.0706,AVX2
2048,0.001829,0.001834,0.000036,0.001793,0.001880,0.001879,1.1200,AVX2
4096,0.003748,0.003752,0.000014,0.003736,0.003770,0.003770,1.0927,AVX2
8192,0.007228,0.007208,0.000047,0.007144,0.007253,0.007253,1.1333,AVX2
12288,0.012687,0.012730,0.000141,0.012582,0.012919,0.012915,0.9686,AVX2
16384,0.015261,0.015398,0.000858,0.014423,0.016511,0.016486,1.0736,AVX2
20480,0.065957,0.065803,0.001395,0.064022,0.067429,0.067399,0.3105,AVX2
24576,0.069181,0.068317,0.001718,0.065919,0.069851,0.069838,0.3552,AVX2
28672,0.073056,0.073056,0.000357,0.072619,0.073493,0.073485,0.3925,AVX2
32768,0.073568,0.073737,0.000990,0.072619,0.075026,0.074997,0.4454,AVX2
40960,0.153687,0.153364,0.000464,0.152707,0.153698,0.153698,0.2665,AVX2
49152,0.152021,0.151726,0.000493,0.151031,0.152126,0.152124,0.3233,AVX2
57344,0.156096,0.156220,0.000992,0.155072,0.157493,0.157465,0.3674,AVX2
65536,0.159734,0.161154,0.002043,0.159686,0.164043,0.163957,0.4103,AVX2
