array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.004579,0.004565,0.000024,0.004532,0.004585,0.004585,0.1118,Scalar
1024,0.009774,0.010128,0.000529,0.009734,0.010877,0.010855,0.1048,Scalar
2048,0.023961,0.024204,0.001545,0.022446,0.026206,0.026161,0.0855,Scalar
4096,0.050178,0.052585,0.003428,0.050143,0.057432,0.057287,0.0816,Scalar
8192,0.108979,0.111665,0.006490,0.105406,0.120609,0.120376,0.0752,Scalar
12288,0.212667,0.212265,0.001728,0.209977,0.214152,0.214122,0.0578,Scalar
16384,0.278504,0.272950,0.012528,0.255602,0.284743,0.284618,0.0588,Scalar
20480,0.387445,0.387752,0.003860,0.383185,0.392625,0.392522,0.0529,Scalar
24576,0.475324,0.474867,0.001001,0.473479,0.475799,0.475789,0.0517,Scalar
28672,0.570391,0.563614,0.015200,0.542559,0.577894,0.577744,0.0503,Scalar
32768,0.568050,0.568899,0.012913,0.553524,0.585121,0.584780,0.0577,Scalar
40960,0.843983,0.841454,0.003719,0.836196,0.844182,0.844178,0.0485,Scalar
49152,1.006909,1.009682,0.011790,0.996829,1.025306,1.024938,0.0488,Scalar
57344,1.201769,1.189579,0.018979,1.162775,1.204193,1.204145,0.0477,Scalar
65536,1.280292,1.281700,0.051542,1.219291,1.345518,1.344214,0.0512,Scalar
