array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001064,0.001068,0.000012,0.001055,0.001085,0.001084,0.4811,SSE4.2
1024,0.001641,0.001642,0.000004,0.001638,0.001648,0.001648,0.6240,SSE4.2
2048,0.002844,0.002845,0.000002,0.002844,0.002847,0.002847,0.7201,SSE4.2
4096,0.005509,0.005489,0.000052,0.005418,0.005540,0.005540,0.7434,SSE4.2
8192,0.009994,0.009991,0.000013,0.009974,0.010005,0.010005,0.8197,SSE4.2
12288,0.016540,0.016553,0.000020,0.016538,0.016581,0.016580,0.7429,SSE4.2
16384,0.018948,0.018975,0.000141,0.018818,0.019160,0.019156,0.8647,SSE4.2
20480,0.069038,0.069431,0.000823,0.068679,0.070577,0.070546,0.2966,SSE4.2
24576,0.071596,0.071409,0.000295,0.070992,0.071639,0.071638,0.3433,SSE4.2
28672,0.073550,0.073494,0.000618,0.072711,0.074221,0.074207,0.3898,SSE4.2
32768,0.076107,0.076899,0.001468,0.075633,0.078956,0.078899,0.4306,SSE4.2
40960,0.153021,0.154711,0.002449,0.152938,0.158174,0.158071,0.2677,SSE4.2
49152,0.158859,0.158910,0.000328,0.158537,0.159335,0.159325,0.3094,SSE4.2
57344,0.162468,0.162057,0.000792,0.160950,0.162754,0.162748,0.3530,SSE4.2
65536,0.167289,0.167138,0.000261,0.166772,0.167354,0.167352,0.3918,SSE4.2
