array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000057,0.000055,0.000002,0.000052,0.000057,0.000057,9.0313,AVX
1024,0.000109,0.000109,0.000005,0.000104,0.000116,0.000116,9.4222,AVX
2048,0.000223,0.000223,0.000004,0.000218,0.000228,0.000228,9.1692,AVX
4096,0.000442,0.000438,0.000017,0.000416,0.000457,0.000457,9.2661,AVX
8192,0.000875,0.000862,0.000021,0.000832,0.000879,0.000879,9.3576,AVX
12288,0.001297,0.001284,0.000019,0.001257,0.001299,0.001299,9.4773,AVX
16384,0.001712,0.001702,0.000024,0.001668,0.001725,0.001725,9.5715,AVX
20480,0.002113,0.002093,0.000039,0.002038,0.002127,0.002127,9.6916,AVX
24576,0.002546,0.002543,0.000014,0.002525,0.002557,0.002557,9.6529,AVX
28672,0.003006,0.002987,0.000027,0.002948,0.003006,0.003006,9.5387,AVX
32768,0.003430,0.003428,0.000047,0.003369,0.003484,0.003483,9.5533,AVX
40960,0.004361,0.004367,0.000016,0.004350,0.004389,0.004388,9.3913,AVX
49152,0.005220,0.005224,0.000010,0.005214,0.005239,0.005238,9.4153,AVX
57344,0.006033,0.006000,0.000061,0.005914,0.006053,0.006053,9.5053,AVX
65536,0.006961,0.006968,0.000013,0.006957,0.006986,0.006986,9.4148,AVX
