array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000053,0.000054,0.000002,0.000051,0.000056,0.000056,9.5867,AVX2
1024,0.000108,0.000106,0.000003,0.000101,0.000108,0.000108,9.5028,AVX2
2048,0.000216,0.000216,0.000005,0.000209,0.000222,0.000222,9.4613,AVX2
4096,0.000449,0.000441,0.000016,0.000418,0.000456,0.000455,9.1318,AVX2
8192,0.000857,0.000856,0.000018,0.000833,0.000878,0.000877,9.5581,AVX2
12288,0.001307,0.001301,0.000009,0.001288,0.001307,0.001307,9.4040,AVX2
16384,0.001723,0.001730,0.000023,0.001705,0.001761,0.001761,9.5064,AVX2
20480,0.002127,0.002117,0.000039,0.002066,0.002159,0.002158,9.6274,AVX2
24576,0.002517,0.002535,0.000034,0.002506,0.002582,0.002581,9.7630,AVX2
28672,0.003062,0.003063,0.000046,0.003007,0.003119,0.003118,9.3649,AVX2
32768,0.003394,0.003374,0.000044,0.003314,0.003416,0.003415,9.6542,AVX2
40960,0.004337,0.004331,0.000023,0.004300,0.004356,0.004355,9.4453,AVX2
49152,0.005228,0.005212,0.000023,0.005179,0.005228,0.005228,9.4023,AVX2
57344,0.006066,0.006031,0.000060,0.005947,0.006080,0.006080,9.4538,AVX2
65536,0.006961,0.006968,0.000020,0.006948,0.006996,0.006995,9.4145,AVX2
