array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000034,0.000034,0.000001,0.000033,0.000036,0.000036,15.2065,AVX-512F
1024,0.000067,0.000068,0.000000,0.000067,0.000068,0.000068,15.2042,AVX-512F
2048,0.000162,0.000162,0.000000,0.000162,0.000162,0.000162,12.6181,AVX-512F
4096,0.000368,0.000367,0.000001,0.000366,0.000369,0.000369,11.1444,AVX-512F
8192,0.000773,0.000778,0.000007,0.000773,0.000787,0.000787,10.5966,AVX-512F
12288,0.001183,0.001182,0.000002,0.001180,0.001184,0.001184,10.3886,AVX-512F
16384,0.001595,0.001601,0.000012,0.001590,0.001618,0.001617,10.2719,AVX-512F
20480,0.001997,0.001997,0.000001,0.001995,0.001998,0.001998,10.2571,AVX-512F
24576,0.002403,0.002403,0.000000,0.002402,0.002403,0.002403,10.2282,AVX-512F
28672,0.002808,0.002808,0.000000,0.002807,0.002808,0.002808,10.2122,AVX-512F
32768,0.003217,0.003216,0.000001,0.003215,0.003218,0.003218,10.1861,AVX-512F
40960,0.004030,0.004029,0.000002,0.004027,0.004031,0.004031,10.1646,AVX-512F
49152,0.004839,0.004839,0.000000,0.004839,0.004839,0.004839,10.1579,AVX-512F
57344,0.005652,0.005652,0.000005,0.005646,0.005658,0.005657,10.1451,AVX-512F
65536,0.006470,0.006478,0.000013,0.006468,0.006496,0.006495,10.1297,AVX-512F
