array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000246,0.000246,0.000001,0.000245,0.000248,0.000248,2.0831,Scalar
1024,0.000500,0.000500,0.000001,0.000499,0.000501,0.000501,2.0461,Scalar
2048,0.001007,0.001008,0.000002,0.001006,0.001011,0.001011,2.0333,Scalar
4096,0.002023,0.002023,0.000001,0.002021,0.002024,0.002024,2.0243,Scalar
8192,0.004053,0.004052,0.000003,0.004048,0.004054,0.004054,2.0212,Scalar
12288,0.006067,0.006067,0.000001,0.006066,0.006069,0.006069,2.0254,Scalar
16384,0.008095,0.008095,0.000001,0.008094,0.008097,0.008097,2.0239,Scalar
20480,0.010119,0.010127,0.000013,0.010118,0.010146,0.010146,2.0240,Scalar
24576,0.012139,0.012139,0.000001,0.012138,0.012140,0.012140,2.0246,Scalar
28672,0.014188,0.014187,0.000005,0.014181,0.014192,0.014192,2.0208,Scalar
32768,0.016224,0.016224,0.000001,0.016223,0.016225,0.016225,2.0198,Scalar
40960,0.020252,0.020251,0.000005,0.020244,0.020256,0.020256,2.0225,Scalar
49152,0.024308,0.024306,0.000005,0.024299,0.024311,0.024311,2.0221,Scalar
57344,0.028387,0.028451,0.000122,0.028344,0.028621,0.028617,2.0201,Scalar
65536,0.032423,0.032440,0.000025,0.032422,0.032476,0.032475,2.0213,Scalar
