array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000100,0.000100,0.000001,0.000099,0.000101,0.000100,5.1293,SSE2
1024,0.000201,0.000197,0.000006,0.000188,0.000201,0.000201,5.0964,SSE2
2048,0.000407,0.000408,0.000002,0.000406,0.000410,0.000410,5.0354,SSE2
4096,0.000804,0.000806,0.000004,0.000803,0.000812,0.000812,5.0963,SSE2
8192,0.001638,0.001642,0.000007,0.001636,0.001652,0.001651,5.0008,SSE2
12288,0.002468,0.002460,0.000016,0.002438,0.002475,0.002475,4.9790,SSE2
16384,0.003286,0.003308,0.000036,0.003281,0.003358,0.003357,4.9866,SSE2
20480,0.004095,0.004091,0.000017,0.004069,0.004110,0.004110,5.0012,SSE2
24576,0.004944,0.004945,0.000006,0.004938,0.004953,0.004953,4.9710,SSE2
28672,0.005739,0.005736,0.000008,0.005726,0.005744,0.005744,4.9961,SSE2
32768,0.006605,0.006607,0.000006,0.006601,0.006614,0.006614,4.9613,SSE2
40960,0.008222,0.008224,0.000009,0.008214,0.008235,0.008235,4.9815,SSE2
49152,0.009973,0.009976,0.000017,0.009958,0.009999,0.009998,4.9287,SSE2
57344,0.011610,0.011613,0.000006,0.011607,0.011621,0.011621,4.9391,SSE2
65536,0.013330,0.013321,0.000016,0.013300,0.013335,0.013335,4.9164,SSE2
