array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000099,0.000099,0.000000,0.000098,0.000099,0.000099,5.1952,SSE4.2
1024,0.000198,0.000199,0.000001,0.000198,0.000200,0.000200,5.1591,SSE4.2
2048,0.000397,0.000397,0.000001,0.000397,0.000398,0.000398,5.1577,SSE4.2
4096,0.000796,0.000801,0.000007,0.000795,0.000810,0.000810,5.1429,SSE4.2
8192,0.001647,0.001646,0.000002,0.001643,0.001648,0.001648,4.9745,SSE4.2
12288,0.002454,0.002460,0.000010,0.002452,0.002475,0.002474,5.0083,SSE4.2
16384,0.003239,0.003248,0.000019,0.003231,0.003275,0.003274,5.0589,SSE4.2
20480,0.004092,0.004077,0.000030,0.004035,0.004105,0.004104,5.0047,SSE4.2
24576,0.004903,0.004898,0.000038,0.004849,0.004942,0.004941,5.0128,SSE4.2
28672,0.005710,0.005718,0.000022,0.005696,0.005748,0.005748,5.0213,SSE4.2
32768,0.006553,0.006549,0.000026,0.006515,0.006580,0.006579,5.0004,SSE4.2
40960,0.008227,0.008205,0.000035,0.008155,0.008232,0.008232,4.9789,SSE4.2
49152,0.009855,0.009873,0.000043,0.009833,0.009932,0.009931,4.9877,SSE4.2
57344,0.011500,0.011501,0.000025,0.011471,0.011533,0.011533,4.9865,SSE4.2
65536,0.013223,0.013233,0.000020,0.013215,0.013261,0.013260,4.9564,SSE4.2
