array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.015941,0.015932,0.000016,0.015909,0.015944,0.015944,0.0321,AVX
1024,0.016108,0.016100,0.000016,0.016077,0.016113,0.016113,0.0636,AVX
2048,0.016249,0.016252,0.000006,0.016248,0.016260,0.016260,0.1260,AVX
4096,0.016608,0.016606,0.000004,0.016601,0.016609,0.016609,0.2466,AVX
8192,0.017325,0.017319,0.000028,0.017281,0.017350,0.017349,0.4728,AVX
12288,0.018080,0.018075,0.000008,0.018064,0.018081,0.018081,0.6796,AVX
16384,0.018863,0.018864,0.000007,0.018855,0.018873,0.018872,0.8686,AVX
20480,0.019615,0.019614,0.000007,0.019605,0.019622,0.019622,1.0441,AVX
24576,0.020607,0.020663,0.000082,0.020603,0.020779,0.020775,1.1926,AVX
28672,0.021404,0.021390,0.000020,0.021361,0.021404,0.021404,1.3396,AVX
32768,0.022250,0.022248,0.000005,0.022241,0.022253,0.022253,1.4727,AVX
40960,0.023672,0.023671,0.000008,0.023661,0.023681,0.023681,1.7303,AVX
49152,0.025188,0.025180,0.000017,0.025156,0.025197,0.025197,1.9514,AVX
57344,0.026609,0.026635,0.000045,0.026599,0.026698,0.026696,2.1550,AVX
65536,0.027707,0.027719,0.000020,0.027702,0.027747,0.027746,2.3653,AVX
