array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.016020,0.016033,0.000018,0.016019,0.016059,0.016058,0.0320,AVX2
1024,0.016154,0.016143,0.000034,0.016097,0.016178,0.016177,0.0634,AVX2
2048,0.016246,0.016248,0.000003,0.016245,0.016252,0.016252,0.1261,AVX2
4096,0.016610,0.016613,0.000006,0.016608,0.016621,0.016621,0.2466,AVX2
8192,0.017353,0.017362,0.000019,0.017344,0.017388,0.017387,0.4721,AVX2
12288,0.018087,0.018089,0.000005,0.018085,0.018096,0.018096,0.6794,AVX2
16384,0.018864,0.018857,0.000010,0.018844,0.018864,0.018864,0.8685,AVX2
20480,0.019609,0.019615,0.000012,0.019603,0.019631,0.019631,1.0444,AVX2
24576,0.020343,0.020345,0.000004,0.020341,0.020351,0.020351,1.2081,AVX2
28672,0.021069,0.021069,0.000005,0.021062,0.021074,0.021074,1.3608,AVX2
32768,0.021791,0.021793,0.000007,0.021784,0.021802,0.021802,1.5037,AVX2
40960,0.023286,0.023308,0.000032,0.023284,0.023354,0.023353,1.7590,AVX2
49152,0.024760,0.024758,0.000005,0.024751,0.024763,0.024763,1.9852,AVX2
57344,0.026245,0.026245,0.000009,0.026234,0.026257,0.026257,2.1849,AVX2
65536,0.027843,0.027847,0.000026,0.027818,0.027881,0.027880,2.3538,AVX2
