array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.011978,0.011969,0.000022,0.011938,0.011990,0.011990,0.0427,AVX-512F
1024,0.011988,0.011991,0.000007,0.011984,0.012000,0.012000,0.0854,AVX-512F
2048,0.012196,0.012196,0.000002,0.012193,0.012198,0.012198,0.1679,AVX-512F
4096,0.012570,0.012568,0.000003,0.012565,0.012571,0.012571,0.3259,AVX-512F
8192,0.013319,0.013318,0.000006,0.013310,0.013325,0.013325,0.6150,AVX-512F
12288,0.014048,0.014054,0.000011,0.014045,0.014070,0.014069,0.8747,AVX-512F
16384,0.014756,0.014760,0.000009,0.014752,0.014773,0.014772,1.1103,AVX-512F
20480,0.015490,0.015492,0.000004,0.015488,0.015497,0.015497,1.3222,AVX-512F
24576,0.016249,0.016250,0.000003,0.016247,0.016254,0.016254,1.5124,AVX-512F
28672,0.016971,0.016966,0.000009,0.016954,0.016974,0.016974,1.6895,AVX-512F
32768,0.017694,0.017700,0.000009,0.017693,0.017712,0.017712,1.8519,AVX-512F
40960,0.019175,0.019172,0.000008,0.019161,0.019181,0.019181,2.1361,AVX-512F
49152,0.020741,0.020741,0.000035,0.020698,0.020784,0.020784,2.3698,AVX-512F
57344,0.022229,0.022231,0.000014,0.022215,0.022249,0.022248,2.5797,AVX-512F
65536,0.023722,0.023720,0.000006,0.023711,0.023726,0.023726,2.7626,AVX-512F
