array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.015094,0.015045,0.000083,0.014927,0.015113,0.015113,0.0339,Scalar
1024,0.015036,0.015048,0.000056,0.014986,0.015121,0.015119,0.0681,Scalar
2048,0.015171,0.015161,0.000072,0.015067,0.015243,0.015242,0.1350,Scalar
4096,0.015954,0.015858,0.000168,0.015621,0.015998,0.015997,0.2567,Scalar
8192,0.016304,0.016309,0.000038,0.016266,0.016358,0.016356,0.5025,Scalar
12288,0.017008,0.017018,0.000061,0.016950,0.017098,0.017096,0.7225,Scalar
16384,0.018105,0.017995,0.000160,0.017769,0.018112,0.018112,0.9050,Scalar
20480,0.018585,0.018616,0.000058,0.018564,0.018697,0.018695,1.1019,Scalar
24576,0.019359,0.019387,0.000054,0.019339,0.019462,0.019460,1.2695,Scalar
28672,0.020089,0.020089,0.000027,0.020056,0.020122,0.020122,1.4272,Scalar
32768,0.020923,0.020900,0.000044,0.020838,0.020939,0.020939,1.5661,Scalar
40960,0.022307,0.022302,0.000062,0.022224,0.022374,0.022373,1.8362,Scalar
49152,0.023855,0.023857,0.000027,0.023824,0.023891,0.023890,2.0604,Scalar
57344,0.025253,0.025263,0.000057,0.025198,0.025337,0.025336,2.2708,Scalar
65536,0.027003,0.027228,0.000344,0.026966,0.027714,0.027699,2.4270,Scalar
