array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.026898,0.026896,0.000013,0.026879,0.026910,0.026910,0.0190,SSE2
1024,0.027001,0.027001,0.000020,0.026977,0.027027,0.027026,0.0379,SSE2
2048,0.027157,0.027167,0.000022,0.027146,0.027198,0.027197,0.0754,SSE2
4096,0.027513,0.027562,0.000071,0.027511,0.027663,0.027660,0.1489,SSE2
8192,0.028590,0.028609,0.000038,0.028576,0.028662,0.028661,0.2865,SSE2
12288,0.029326,0.029322,0.000013,0.029304,0.029335,0.029335,0.4190,SSE2
16384,0.030059,0.030073,0.000020,0.030057,0.030101,0.030100,0.5451,SSE2
20480,0.030786,0.030799,0.000022,0.030782,0.030830,0.030829,0.6652,SSE2
24576,0.031531,0.031532,0.000008,0.031522,0.031543,0.031543,0.7794,SSE2
28672,0.032256,0.032244,0.000024,0.032210,0.032265,0.032265,0.8889,SSE2
32768,0.032978,0.032973,0.000016,0.032951,0.032989,0.032989,0.9936,SSE2
40960,0.034441,0.034447,0.000020,0.034426,0.034473,0.034472,1.1893,SSE2
49152,0.035889,0.035897,0.000022,0.035875,0.035926,0.035926,1.3696,SSE2
57344,0.037390,0.037386,0.000012,0.037371,0.037399,0.037399,1.5337,SSE2
65536,0.038841,0.038842,0.000012,0.038828,0.038858,0.038858,1.6873,SSE2
