array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.026920,0.026916,0.000009,0.026904,0.026924,0.026924,0.0190,SSE4.2
1024,0.026958,0.026966,0.000015,0.026952,0.026987,0.026986,0.0380,SSE4.2
2048,0.027142,0.027139,0.000013,0.027122,0.027153,0.027153,0.0755,SSE4.2
4096,0.027510,0.027555,0.000079,0.027488,0.027666,0.027663,0.1489,SSE4.2
8192,0.028255,0.028252,0.000019,0.028227,0.028273,0.028273,0.2899,SSE4.2
12288,0.028965,0.028967,0.000003,0.028963,0.028971,0.028971,0.4242,SSE4.2
16384,0.029711,0.029705,0.000009,0.029693,0.029712,0.029712,0.5515,SSE4.2
20480,0.030440,0.030440,0.000012,0.030425,0.030454,0.030453,0.6728,SSE4.2
24576,0.031223,0.031214,0.000024,0.031181,0.031237,0.031237,0.7871,SSE4.2
28672,0.031957,0.031940,0.000033,0.031894,0.031969,0.031969,0.8972,SSE4.2
32768,0.032816,0.032846,0.000051,0.032804,0.032918,0.032916,0.9985,SSE4.2
40960,0.034091,0.034135,0.000074,0.034075,0.034240,0.034237,1.2015,SSE4.2
49152,0.035616,0.035606,0.000018,0.035581,0.035622,0.035622,1.3801,SSE4.2
57344,0.037030,0.037075,0.000064,0.037030,0.037166,0.037163,1.5486,SSE4.2
65536,0.038516,0.038511,0.000018,0.038487,0.038529,0.038529,1.7015,SSE4.2
