array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000244,0.000246,0.000005,0.000241,0.000252,0.000252,2.0970,AVX-512F
1024,0.000263,0.000263,0.000001,0.000262,0.000264,0.000264,3.8991,AVX-512F
2048,0.000278,0.000277,0.000001,0.000276,0.000279,0.000279,7.3561,AVX-512F
4096,0.000276,0.000276,0.000001,0.000275,0.000276,0.000276,14.8465,AVX-512F
8192,0.000275,0.000278,0.000004,0.000275,0.000284,0.000284,29.7973,AVX-512F
12288,0.000276,0.000275,0.000001,0.000274,0.000277,0.000277,44.5935,AVX-512F
16384,0.000275,0.000275,0.000000,0.000275,0.000275,0.000275,59.5366,AVX-512F
20480,0.000276,0.000276,0.000001,0.000274,0.000277,0.000277,74.1481,AVX-512F
24576,0.000277,0.000276,0.000001,0.000276,0.000277,0.000277,88.8516,AVX-512F
28672,0.000276,0.000276,0.000001,0.000275,0.000277,0.000277,103.9390,AVX-512F
32768,0.000275,0.000275,0.000001,0.000275,0.000276,0.000276,118.9531,AVX-512F
40960,0.000275,0.000276,0.000001,0.000275,0.000277,0.000277,148.7399,AVX-512F
49152,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,177.3416,AVX-512F
57344,0.000276,0.000276,0.000000,0.000275,0.000276,0.000276,208.0742,AVX-512F
65536,0.000276,0.000276,0.000001,0.000275,0.000278,0.000278,237.1657,AVX-512F
