array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000241,0.000242,0.000001,0.000241,0.000243,0.000243,2.1221,Scalar
1024,0.000264,0.000264,0.000001,0.000263,0.000265,0.000265,3.8804,Scalar
2048,0.000277,0.000277,0.000001,0.000276,0.000277,0.000277,7.4060,Scalar
4096,0.000278,0.000279,0.000002,0.000277,0.000281,0.000281,14.7420,Scalar
8192,0.000276,0.000276,0.000001,0.000276,0.000277,0.000277,29.6642,Scalar
12288,0.000277,0.000278,0.000001,0.000276,0.000279,0.000279,44.3015,Scalar
16384,0.000276,0.000277,0.000002,0.000276,0.000279,0.000279,59.3498,Scalar
20480,0.000279,0.000278,0.000002,0.000276,0.000279,0.000279,73.3745,Scalar
24576,0.000278,0.000277,0.000001,0.000277,0.000278,0.000278,88.4665,Scalar
28672,0.000277,0.000277,0.000001,0.000276,0.000278,0.000278,103.5150,Scalar
32768,0.000277,0.000277,0.000001,0.000276,0.000278,0.000278,118.4106,Scalar
40960,0.000277,0.000277,0.000001,0.000276,0.000277,0.000277,147.8391,Scalar
49152,0.000279,0.000280,0.000004,0.000276,0.000286,0.000286,176.4668,Scalar
57344,0.000279,0.000278,0.000002,0.000276,0.000280,0.000280,205.5046,Scalar
65536,0.000277,0.000278,0.000001,0.000277,0.000279,0.000279,236.2168,Scalar
