array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000242,0.000244,0.000004,0.000241,0.000249,0.000249,2.1196,SSE2
1024,0.000264,0.000265,0.000002,0.000263,0.000267,0.000267,3.8805,SSE2
2048,0.000279,0.000279,0.000002,0.000275,0.000281,0.000281,7.3355,SSE2
4096,0.000277,0.000277,0.000001,0.000276,0.000278,0.000278,14.8058,SSE2
8192,0.000277,0.000278,0.000003,0.000275,0.000283,0.000283,29.5380,SSE2
12288,0.000275,0.000275,0.000000,0.000275,0.000276,0.000276,44.6129,SSE2
16384,0.000276,0.000276,0.000001,0.000275,0.000277,0.000277,59.3520,SSE2
20480,0.000275,0.000276,0.000002,0.000275,0.000279,0.000279,74.3559,SSE2
24576,0.000276,0.000276,0.000001,0.000275,0.000278,0.000278,89.2051,SSE2
28672,0.000276,0.000277,0.000002,0.000275,0.000279,0.000279,103.7713,SSE2
32768,0.000276,0.000276,0.000001,0.000274,0.000277,0.000277,118.6730,SSE2
40960,0.000276,0.000276,0.000001,0.000275,0.000277,0.000277,148.3349,SSE2
49152,0.000277,0.000277,0.000000,0.000277,0.000277,0.000277,177.4223,SSE2
57344,0.000276,0.000276,0.000000,0.000276,0.000276,0.000276,208.0289,SSE2
65536,0.000276,0.000276,0.000001,0.000275,0.000277,0.000277,237.1863,SSE2
