array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000111,0.000000,0.000110,0.000111,0.000111,4.6106,AVX-512F
1024,0.000226,0.000226,0.000001,0.000225,0.000226,0.000226,4.5292,AVX-512F
2048,0.000437,0.000438,0.000003,0.000434,0.000442,0.000442,4.6827,AVX-512F
4096,0.000858,0.000858,0.000001,0.000857,0.000858,0.000858,4.7748,AVX-512F
8192,0.001697,0.001698,0.000002,0.001696,0.001700,0.001700,4.8280,AVX-512F
12288,0.002542,0.002542,0.000001,0.002542,0.002544,0.002543,4.8339,AVX-512F
16384,0.003386,0.003385,0.000002,0.003383,0.003387,0.003387,4.8381,AVX-512F
20480,0.004245,0.004244,0.000002,0.004242,0.004245,0.004245,4.8242,AVX-512F
24576,0.005090,0.005089,0.000002,0.005086,0.005091,0.005091,4.8283,AVX-512F
28672,0.005952,0.005953,0.000003,0.005950,0.005956,0.005956,4.8169,AVX-512F
32768,0.006799,0.006796,0.000005,0.006790,0.006800,0.006800,4.8198,AVX-512F
40960,0.008509,0.008570,0.000099,0.008490,0.008710,0.008706,4.8135,AVX-512F
49152,0.010246,0.010243,0.000009,0.010231,0.010252,0.010251,4.7970,AVX-512F
57344,0.011939,0.011935,0.000010,0.011922,0.011945,0.011944,4.8030,AVX-512F
65536,0.013620,0.013621,0.000009,0.013611,0.013631,0.013631,4.8117,AVX-512F
