array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000111,0.000000,0.000110,0.000111,0.000111,4.6293,Scalar
1024,0.000213,0.000212,0.000002,0.000210,0.000214,0.000214,4.8067,Scalar
2048,0.000409,0.000411,0.000004,0.000407,0.000416,0.000416,5.0122,Scalar
4096,0.000805,0.000805,0.000001,0.000804,0.000806,0.000806,5.0913,Scalar
8192,0.001590,0.001589,0.000003,0.001586,0.001592,0.001592,5.1527,Scalar
12288,0.002376,0.002378,0.000006,0.002373,0.002386,0.002386,5.1728,Scalar
16384,0.003167,0.003166,0.000002,0.003163,0.003168,0.003168,5.1736,Scalar
20480,0.006036,0.006118,0.000116,0.006035,0.006282,0.006277,3.3928,Scalar
24576,0.008369,0.008294,0.000120,0.008125,0.008389,0.008388,2.9364,Scalar
28672,0.010349,0.010150,0.000923,0.008934,0.011168,0.011152,2.7706,Scalar
32768,0.010414,0.010392,0.000305,0.010008,0.010753,0.010746,3.1466,Scalar
40960,0.015896,0.016547,0.001358,0.015307,0.018437,0.018387,2.5768,Scalar
49152,0.020964,0.020506,0.000887,0.019266,0.021290,0.021283,2.3446,Scalar
57344,0.029844,0.030016,0.000346,0.029704,0.030499,0.030486,1.9214,Scalar
65536,0.038478,0.038327,0.000763,0.037326,0.039176,0.039162,1.7032,Scalar
