array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000111,0.000001,0.000110,0.000113,0.000113,4.6154,SSE2
1024,0.000210,0.000211,0.000003,0.000208,0.000215,0.000215,4.8687,SSE2
2048,0.000412,0.000413,0.000001,0.000411,0.000414,0.000414,4.9688,SSE2
4096,0.000801,0.000801,0.000001,0.000800,0.000802,0.000802,5.1132,SSE2
8192,0.001592,0.001592,0.000001,0.001591,0.001593,0.001593,5.1449,SSE2
12288,0.002381,0.002383,0.000008,0.002375,0.002394,0.002394,5.1609,SSE2
16384,0.003181,0.003177,0.000006,0.003170,0.003182,0.003182,5.1509,SSE2
20480,0.006079,0.006421,0.000514,0.006036,0.007149,0.007127,3.3688,SSE2
24576,0.008339,0.008296,0.000104,0.008153,0.008397,0.008396,2.9473,SSE2
28672,0.009139,0.009271,0.000474,0.008768,0.009906,0.009891,3.1374,SSE2
32768,0.011520,0.011544,0.000313,0.011173,0.011939,0.011931,2.8443,SSE2
40960,0.016681,0.016715,0.000563,0.016043,0.017422,0.017407,2.4554,SSE2
49152,0.019712,0.019730,0.000143,0.019565,0.019914,0.019910,2.4936,SSE2
57344,0.031826,0.031724,0.000301,0.031315,0.032030,0.032026,1.8018,SSE2
65536,0.036781,0.037165,0.002414,0.034419,0.040296,0.040225,1.7818,SSE2
