array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000110,0.000001,0.000110,0.000111,0.000111,4.6275,SSE4.2
1024,0.000212,0.000211,0.000002,0.000208,0.000213,0.000213,4.8273,SSE4.2
2048,0.000410,0.000412,0.000003,0.000409,0.000416,0.000416,4.9903,SSE4.2
4096,0.000805,0.000804,0.000003,0.000800,0.000808,0.000808,5.0913,SSE4.2
8192,0.001589,0.001588,0.000003,0.001584,0.001590,0.001590,5.1569,SSE4.2
12288,0.002382,0.002383,0.000010,0.002371,0.002396,0.002396,5.1578,SSE4.2
16384,0.003162,0.003162,0.000001,0.003161,0.003164,0.003164,5.1810,SSE4.2
20480,0.006571,0.006621,0.000285,0.006299,0.006992,0.006984,3.1167,SSE4.2
24576,0.007606,0.007785,0.000308,0.007531,0.008220,0.008207,3.2312,SSE4.2
28672,0.009021,0.009011,0.000457,0.008446,0.009566,0.009555,3.1783,SSE4.2
32768,0.010204,0.010089,0.000253,0.009739,0.010326,0.010323,3.2114,SSE4.2
40960,0.016630,0.016425,0.000334,0.015954,0.016692,0.016691,2.4631,SSE4.2
49152,0.021078,0.021076,0.000110,0.020940,0.021210,0.021207,2.3319,SSE4.2
57344,0.029353,0.029326,0.000830,0.028296,0.030330,0.030310,1.9536,SSE4.2
65536,0.033878,0.033019,0.001533,0.030866,0.034314,0.034305,1.9345,SSE4.2
