array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000071,0.000072,0.000000,0.000071,0.000072,0.000072,7.1860,AVX
1024,0.000140,0.000141,0.000001,0.000140,0.000143,0.000143,7.2978,AVX
2048,0.000277,0.000278,0.000002,0.000277,0.000280,0.000280,7.3866,AVX
4096,0.000554,0.000555,0.000001,0.000554,0.000556,0.000556,7.3922,AVX
8192,0.001109,0.001110,0.000003,0.001107,0.001115,0.001115,7.3895,AVX
12288,0.001659,0.001660,0.000003,0.001658,0.001664,0.001664,7.4076,AVX
16384,0.002213,0.002215,0.000003,0.002212,0.002219,0.002218,7.4027,AVX
20480,0.002761,0.002762,0.000002,0.002761,0.002764,0.002764,7.4174,AVX
24576,0.003315,0.003314,0.000001,0.003313,0.003315,0.003315,7.4137,AVX
28672,0.003867,0.003867,0.000003,0.003864,0.003871,0.003871,7.4150,AVX
32768,0.004422,0.004422,0.000002,0.004419,0.004424,0.004424,7.4102,AVX
40960,0.005529,0.005528,0.000002,0.005525,0.005530,0.005530,7.4080,AVX
49152,0.006630,0.006630,0.000001,0.006628,0.006631,0.006631,7.4137,AVX
57344,0.007738,0.007738,0.000001,0.007736,0.007739,0.007739,7.4110,AVX
65536,0.008844,0.008846,0.000002,0.008844,0.008849,0.008849,7.4100,AVX
