array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000071,0.000071,0.000001,0.000071,0.000072,0.000072,7.1988,AVX2
1024,0.000142,0.000141,0.000000,0.000141,0.000142,0.000142,7.2349,AVX2
2048,0.000279,0.000280,0.000001,0.000279,0.000281,0.000281,7.3380,AVX2
4096,0.000560,0.000559,0.000002,0.000556,0.000561,0.000561,7.3178,AVX2
8192,0.001110,0.001111,0.000002,0.001109,0.001113,0.001113,7.3798,AVX2
12288,0.001662,0.001663,0.000004,0.001659,0.001668,0.001668,7.3942,AVX2
16384,0.002215,0.002216,0.000004,0.002213,0.002222,0.002222,7.3983,AVX2
20480,0.002767,0.002768,0.000002,0.002766,0.002770,0.002770,7.4024,AVX2
24576,0.003317,0.003318,0.000001,0.003317,0.003319,0.003319,7.4089,AVX2
28672,0.003872,0.003871,0.000002,0.003869,0.003873,0.003873,7.4052,AVX2
32768,0.004424,0.004425,0.000002,0.004423,0.004428,0.004428,7.4075,AVX2
40960,0.005531,0.005530,0.000002,0.005527,0.005532,0.005532,7.4060,AVX2
49152,0.006638,0.006637,0.000003,0.006633,0.006640,0.006640,7.4048,AVX2
57344,0.007738,0.007739,0.000003,0.007735,0.007742,0.007742,7.4109,AVX2
65536,0.008849,0.008850,0.000002,0.008848,0.008853,0.008853,7.4061,AVX2
