array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000055,0.000056,0.000002,0.000055,0.000059,0.000059,9.2771,AVX-512F
1024,0.000136,0.000136,0.000001,0.000135,0.000137,0.000137,7.5346,AVX-512F
2048,0.000282,0.000282,0.000000,0.000282,0.000283,0.000283,7.2587,AVX-512F
4096,0.000581,0.000580,0.000003,0.000576,0.000584,0.000584,7.0551,AVX-512F
8192,0.001164,0.001164,0.000000,0.001164,0.001165,0.001165,7.0373,AVX-512F
12288,0.001751,0.001750,0.000001,0.001750,0.001751,0.001751,7.0182,AVX-512F
16384,0.002338,0.002336,0.000005,0.002330,0.002340,0.002340,7.0085,AVX-512F
20480,0.002922,0.002922,0.000002,0.002919,0.002925,0.002924,7.0099,AVX-512F
24576,0.003506,0.003508,0.000003,0.003506,0.003512,0.003512,7.0091,AVX-512F
28672,0.004082,0.004082,0.000002,0.004080,0.004085,0.004085,7.0234,AVX-512F
32768,0.004675,0.004676,0.000002,0.004674,0.004679,0.004679,7.0093,AVX-512F
40960,0.005834,0.005837,0.000005,0.005833,0.005844,0.005844,7.0209,AVX-512F
49152,0.007017,0.007016,0.000004,0.007010,0.007019,0.007019,7.0043,AVX-512F
57344,0.008183,0.008183,0.000001,0.008181,0.008184,0.008184,7.0075,AVX-512F
65536,0.009400,0.009399,0.000002,0.009397,0.009401,0.009401,6.9719,AVX-512F
