array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000210,0.000210,0.000002,0.000208,0.000212,0.000212,2.4363,Scalar
1024,0.000413,0.000415,0.000002,0.000413,0.000418,0.000418,2.4766,Scalar
2048,0.000826,0.000827,0.000003,0.000824,0.000831,0.000831,2.4799,Scalar
4096,0.001648,0.001648,0.000002,0.001646,0.001650,0.001650,2.4851,Scalar
8192,0.003301,0.003300,0.000001,0.003298,0.003301,0.003301,2.4820,Scalar
12288,0.004943,0.004945,0.000007,0.004938,0.004954,0.004954,2.4858,Scalar
16384,0.006586,0.006587,0.000003,0.006586,0.006591,0.006591,2.4878,Scalar
20480,0.008236,0.008239,0.000005,0.008236,0.008245,0.008245,2.4868,Scalar
24576,0.009877,0.009880,0.000005,0.009876,0.009887,0.009887,2.4881,Scalar
28672,0.011517,0.011519,0.000003,0.011516,0.011524,0.011524,2.4895,Scalar
32768,0.013157,0.013157,0.000001,0.013156,0.013157,0.013157,2.4905,Scalar
40960,0.016443,0.016444,0.000002,0.016442,0.016447,0.016447,2.4910,Scalar
49152,0.019763,0.019762,0.000007,0.019753,0.019769,0.019769,2.4870,Scalar
57344,0.023030,0.023031,0.000002,0.023029,0.023034,0.023034,2.4900,Scalar
65536,0.026313,0.026319,0.000009,0.026311,0.026332,0.026332,2.4906,Scalar
