array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000209,0.000209,0.000001,0.000208,0.000210,0.000210,2.4477,SSE2
1024,0.000415,0.000415,0.000001,0.000414,0.000416,0.000416,2.4676,SSE2
2048,0.000827,0.000828,0.000003,0.000826,0.000832,0.000832,2.4763,SSE2
4096,0.001648,0.001648,0.000001,0.001647,0.001650,0.001650,2.4850,SSE2
8192,0.003300,0.003300,0.000001,0.003299,0.003302,0.003302,2.4824,SSE2
12288,0.004945,0.004945,0.000001,0.004944,0.004945,0.004945,2.4849,SSE2
16384,0.006593,0.006593,0.000001,0.006592,0.006595,0.006595,2.4852,SSE2
20480,0.008235,0.008235,0.000001,0.008234,0.008236,0.008236,2.4870,SSE2
24576,0.009891,0.009911,0.000034,0.009883,0.009959,0.009957,2.4846,SSE2
28672,0.011529,0.011528,0.000002,0.011524,0.011530,0.011530,2.4870,SSE2
32768,0.013162,0.013164,0.000004,0.013161,0.013169,0.013169,2.4897,SSE2
40960,0.016455,0.016456,0.000005,0.016450,0.016462,0.016462,2.4893,SSE2
49152,0.019745,0.019747,0.000006,0.019741,0.019755,0.019755,2.4893,SSE2
57344,0.023061,0.023068,0.000020,0.023048,0.023095,0.023094,2.4866,SSE2
65536,0.026351,0.026384,0.000061,0.026332,0.026470,0.026467,2.4870,SSE2
