array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000470,0.000472,0.000006,0.000466,0.000480,0.000480,1.0894,AVX
1024,0.000934,0.000951,0.000028,0.000928,0.000991,0.000990,1.0960,AVX
2048,0.001867,0.001867,0.000005,0.001861,0.001874,0.001874,1.0970,AVX
4096,0.003758,0.003763,0.000008,0.003756,0.003774,0.003774,1.0898,AVX
8192,0.007573,0.007576,0.000032,0.007539,0.007617,0.007616,1.0818,AVX
12288,0.011310,0.011318,0.000013,0.011308,0.011337,0.011336,1.0864,AVX
16384,0.015079,0.015084,0.000006,0.015079,0.015093,0.015092,1.0865,AVX
20480,0.018854,0.018857,0.000021,0.018833,0.018883,0.018883,1.0862,AVX
24576,0.022585,0.022578,0.000011,0.022563,0.022586,0.022586,1.0881,AVX
28672,0.026328,0.026328,0.000002,0.026326,0.026330,0.026330,1.0890,AVX
32768,0.030098,0.030104,0.000010,0.030096,0.030118,0.030118,1.0887,AVX
40960,0.037645,0.037628,0.000039,0.037574,0.037665,0.037664,1.0881,AVX
49152,0.045178,0.045193,0.000095,0.045085,0.045315,0.045312,1.0880,AVX
57344,0.052721,0.052780,0.000107,0.052689,0.052931,0.052926,1.0877,AVX
65536,0.060371,0.060342,0.000057,0.060262,0.060393,0.060393,1.0856,AVX
