array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000247,0.000247,0.000000,0.000246,0.000247,0.000247,2.0722,AVX2
1024,0.000502,0.000501,0.000004,0.000497,0.000505,0.000505,2.0381,AVX2
2048,0.001012,0.001009,0.000006,0.001000,0.001015,0.001015,2.0241,AVX2
4096,0.002026,0.002025,0.000001,0.002024,0.002026,0.002026,2.0219,AVX2
8192,0.004061,0.004063,0.000005,0.004058,0.004071,0.004071,2.0173,AVX2
12288,0.006092,0.006094,0.000005,0.006088,0.006101,0.006101,2.0171,AVX2
16384,0.008125,0.008126,0.000003,0.008124,0.008130,0.008130,2.0166,AVX2
20480,0.010155,0.010153,0.000006,0.010145,0.010159,0.010159,2.0167,AVX2
24576,0.012209,0.012209,0.000014,0.012191,0.012226,0.012226,2.0130,AVX2
28672,0.014228,0.014227,0.000009,0.014216,0.014238,0.014237,2.0151,AVX2
32768,0.016254,0.016255,0.000001,0.016254,0.016256,0.016256,2.0160,AVX2
40960,0.020281,0.020300,0.000032,0.020273,0.020345,0.020344,2.0196,AVX2
49152,0.024372,0.024380,0.000013,0.024370,0.024397,0.024397,2.0167,AVX2
57344,0.028465,0.028462,0.000004,0.028457,0.028466,0.028466,2.0145,AVX2
65536,0.032602,0.032601,0.000007,0.032591,0.032608,0.032608,2.0102,AVX2
