array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000126,0.000133,0.000010,0.000126,0.000148,0.000147,4.0558,AVX-512F
1024,0.000252,0.000253,0.000001,0.000252,0.000254,0.000254,4.0574,AVX-512F
2048,0.000519,0.000516,0.000005,0.000509,0.000522,0.000522,3.9495,AVX-512F
4096,0.001045,0.001045,0.000001,0.001043,0.001046,0.001046,3.9203,AVX-512F
8192,0.002100,0.002100,0.000002,0.002098,0.002102,0.002102,3.9011,AVX-512F
12288,0.003157,0.003157,0.000001,0.003155,0.003158,0.003158,3.8922,AVX-512F
16384,0.004210,0.004210,0.000001,0.004210,0.004211,0.004211,3.8917,AVX-512F
20480,0.005266,0.005274,0.000014,0.005262,0.005294,0.005293,3.8894,AVX-512F
24576,0.006317,0.006316,0.000001,0.006315,0.006318,0.006318,3.8907,AVX-512F
28672,0.007370,0.007376,0.000014,0.007363,0.007395,0.007395,3.8905,AVX-512F
32768,0.008420,0.008420,0.000002,0.008417,0.008423,0.008423,3.8916,AVX-512F
40960,0.010525,0.010499,0.000044,0.010437,0.010535,0.010534,3.8915,AVX-512F
49152,0.012593,0.012605,0.000040,0.012564,0.012659,0.012658,3.9031,AVX-512F
57344,0.014753,0.014755,0.000011,0.014743,0.014770,0.014770,3.8869,AVX-512F
65536,0.016975,0.016973,0.000006,0.016964,0.016978,0.016978,3.8607,AVX-512F
