array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.001474,0.001471,0.000026,0.001439,0.001502,0.001501,0.3475,Scalar
1024,0.002894,0.002895,0.000027,0.002863,0.002929,0.002928,0.3539,Scalar
2048,0.005761,0.005759,0.000026,0.005727,0.005790,0.005790,0.3555,Scalar
4096,0.011557,0.011544,0.000034,0.011498,0.011578,0.011577,0.3544,Scalar
8192,0.023399,0.023402,0.000049,0.023344,0.023464,0.023463,0.3501,Scalar
12288,0.034023,0.034021,0.000035,0.033978,0.034063,0.034062,0.3612,Scalar
16384,0.045494,0.045540,0.000077,0.045476,0.045648,0.045645,0.3601,Scalar
20480,0.056416,0.056457,0.000090,0.056373,0.056581,0.056578,0.3630,Scalar
24576,0.067646,0.067737,0.000182,0.067574,0.067990,0.067984,0.3633,Scalar
28672,0.079194,0.079198,0.000015,0.079181,0.079219,0.079218,0.3620,Scalar
32768,0.090849,0.090854,0.000023,0.090828,0.090884,0.090884,0.3607,Scalar
40960,0.112886,0.113003,0.000209,0.112825,0.113297,0.113288,0.3628,Scalar
49152,0.135752,0.135647,0.000162,0.135419,0.135771,0.135771,0.3621,Scalar
57344,0.159556,0.159544,0.000852,0.158495,0.160581,0.160560,0.3594,Scalar
65536,0.181653,0.181665,0.000038,0.181626,0.181717,0.181715,0.3608,Scalar
