array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000881,0.000887,0.000018,0.000869,0.000912,0.000911,0.5813,SSE4.2
1024,0.001742,0.001752,0.000016,0.001739,0.001775,0.001775,0.5879,SSE4.2
2048,0.003477,0.003478,0.000002,0.003476,0.003480,0.003480,0.5890,SSE4.2
4096,0.006967,0.006967,0.000003,0.006963,0.006971,0.006971,0.5879,SSE4.2
8192,0.013948,0.013948,0.000011,0.013936,0.013961,0.013961,0.5873,SSE4.2
12288,0.020942,0.020938,0.000032,0.020897,0.020974,0.020974,0.5868,SSE4.2
16384,0.027847,0.027845,0.000015,0.027826,0.027861,0.027861,0.5884,SSE4.2
20480,0.034835,0.034837,0.000012,0.034824,0.034853,0.034852,0.5879,SSE4.2
24576,0.041807,0.041808,0.000007,0.041801,0.041817,0.041817,0.5878,SSE4.2
28672,0.050419,0.050135,0.001041,0.048742,0.051245,0.051228,0.5687,SSE4.2
32768,0.055712,0.055853,0.000249,0.055644,0.056204,0.056194,0.5882,SSE4.2
40960,0.070208,0.070085,0.000322,0.069644,0.070405,0.070401,0.5834,SSE4.2
49152,0.083534,0.083635,0.000145,0.083532,0.083841,0.083835,0.5884,SSE4.2
57344,0.097512,0.097515,0.000025,0.097486,0.097547,0.097546,0.5881,SSE4.2
65536,0.111519,0.111528,0.000068,0.111450,0.111616,0.111614,0.5877,SSE4.2
