array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000029,0.000030,0.000002,0.000028,0.000033,0.000033,17.4602,AVX
1024,0.000069,0.000069,0.000000,0.000068,0.000069,0.000069,14.8386,AVX
2048,0.000159,0.000161,0.000002,0.000159,0.000164,0.000164,12.8578,AVX
4096,0.000343,0.000343,0.000001,0.000341,0.000344,0.000344,11.9280,AVX
8192,0.000704,0.000706,0.000003,0.000704,0.000710,0.000710,11.6341,AVX
12288,0.001068,0.001069,0.000003,0.001066,0.001073,0.001072,11.5055,AVX
16384,0.001433,0.001432,0.000001,0.001430,0.001434,0.001434,11.4367,AVX
20480,0.001795,0.001795,0.000001,0.001794,0.001797,0.001797,11.4071,AVX
24576,0.002158,0.002158,0.000001,0.002157,0.002159,0.002159,11.3868,AVX
28672,0.002520,0.002520,0.000002,0.002518,0.002523,0.002523,11.3792,AVX
32768,0.002883,0.002884,0.000002,0.002882,0.002887,0.002887,11.3642,AVX
40960,0.003609,0.003610,0.000001,0.003608,0.003611,0.003611,11.3481,AVX
49152,0.004336,0.004337,0.000001,0.004336,0.004338,0.004337,11.3350,AVX
57344,0.005068,0.005068,0.000000,0.005067,0.005068,0.005068,11.3160,AVX
65536,0.005789,0.005789,0.000001,0.005789,0.005790,0.005790,11.3206,AVX
