array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000034,0.000034,0.000002,0.000031,0.000036,0.000036,15.0086,AVX2
1024,0.000069,0.000069,0.000001,0.000069,0.000070,0.000070,14.9168,AVX2
2048,0.000160,0.000160,0.000000,0.000160,0.000160,0.000160,12.8004,AVX2
4096,0.000344,0.000344,0.000003,0.000341,0.000348,0.000348,11.9072,AVX2
8192,0.000707,0.000706,0.000000,0.000706,0.000707,0.000707,11.5945,AVX2
12288,0.001069,0.001070,0.000001,0.001069,0.001071,0.001071,11.4925,AVX2
16384,0.001432,0.001432,0.000001,0.001431,0.001432,0.001432,11.4387,AVX2
20480,0.001796,0.001795,0.000002,0.001793,0.001796,0.001796,11.4055,AVX2
24576,0.002158,0.002158,0.000001,0.002158,0.002159,0.002159,11.3857,AVX2
28672,0.002521,0.002521,0.000001,0.002519,0.002522,0.002522,11.3715,AVX2
32768,0.002881,0.002882,0.000001,0.002881,0.002883,0.002883,11.3730,AVX2
40960,0.003608,0.003608,0.000000,0.003607,0.003608,0.003608,11.3526,AVX2
49152,0.004334,0.004334,0.000001,0.004333,0.004335,0.004335,11.3408,AVX2
57344,0.005062,0.005066,0.000009,0.005059,0.005079,0.005078,11.3291,AVX2
65536,0.005803,0.005804,0.000002,0.005803,0.005807,0.005807,11.2942,AVX2
