array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000017,0.000017,0.000001,0.000017,0.000018,0.000018,30.1460,AVX-512F
1024,0.000034,0.000034,0.000000,0.000034,0.000034,0.000034,30.2584,AVX-512F
2048,0.000083,0.000083,0.000001,0.000082,0.000085,0.000085,24.7243,AVX-512F
4096,0.000173,0.000170,0.000004,0.000165,0.000173,0.000173,23.7014,AVX-512F
8192,0.000345,0.000346,0.000003,0.000343,0.000351,0.000351,23.7432,AVX-512F
12288,0.000529,0.000530,0.000004,0.000526,0.000534,0.000534,23.2409,AVX-512F
16384,0.000711,0.000712,0.000003,0.000709,0.000715,0.000715,23.0415,AVX-512F
20480,0.000894,0.000893,0.000002,0.000891,0.000895,0.000895,22.9009,AVX-512F
24576,0.001080,0.001079,0.000001,0.001077,0.001081,0.001081,22.7486,AVX-512F
28672,0.001260,0.001261,0.000001,0.001260,0.001262,0.001262,22.7477,AVX-512F
32768,0.001444,0.001444,0.000001,0.001442,0.001444,0.001444,22.6868,AVX-512F
40960,0.001808,0.001810,0.000002,0.001808,0.001813,0.001813,22.6496,AVX-512F
49152,0.002175,0.002176,0.000002,0.002174,0.002179,0.002179,22.5976,AVX-512F
57344,0.002539,0.002539,0.000002,0.002537,0.002541,0.002541,22.5888,AVX-512F
65536,0.002906,0.002906,0.000001,0.002904,0.002907,0.002907,22.5527,AVX-512F
