array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000071,0.000073,0.000005,0.000070,0.000080,0.000080,7.2532,SSE2
1024,0.000161,0.000161,0.000001,0.000161,0.000162,0.000162,6.3490,SSE2
2048,0.000342,0.000343,0.000002,0.000342,0.000345,0.000345,5.9889,SSE2
4096,0.000706,0.000707,0.000002,0.000705,0.000709,0.000709,5.8007,SSE2
8192,0.001432,0.001433,0.000001,0.001432,0.001434,0.001434,5.7192,SSE2
12288,0.002158,0.002158,0.000001,0.002158,0.002159,0.002159,5.6951,SSE2
16384,0.002890,0.002890,0.000003,0.002886,0.002893,0.002893,5.6683,SSE2
20480,0.003612,0.003613,0.000001,0.003611,0.003615,0.003614,5.6698,SSE2
24576,0.004337,0.004337,0.000001,0.004336,0.004338,0.004338,5.6665,SSE2
28672,0.005066,0.005066,0.000001,0.005065,0.005067,0.005067,5.6598,SSE2
32768,0.005800,0.005802,0.000016,0.005784,0.005822,0.005822,5.6493,SSE2
40960,0.007239,0.007239,0.000001,0.007237,0.007241,0.007241,5.6584,SSE2
49152,0.008693,0.008691,0.000003,0.008686,0.008694,0.008694,5.6540,SSE2
57344,0.010145,0.010144,0.000002,0.010142,0.010146,0.010146,5.6526,SSE2
65536,0.011590,0.011589,0.000003,0.011585,0.011592,0.011592,5.6545,SSE2
