array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000069,0.000072,0.000004,0.000069,0.000078,0.000077,7.3835,SSE4.2
1024,0.000160,0.000161,0.000001,0.000160,0.000162,0.000162,6.3849,SSE4.2
2048,0.000343,0.000343,0.000001,0.000342,0.000344,0.000344,5.9698,SSE4.2
4096,0.000707,0.000706,0.000001,0.000704,0.000707,0.000707,5.7963,SSE4.2
8192,0.001429,0.001430,0.000001,0.001429,0.001431,0.001431,5.7314,SSE4.2
12288,0.002156,0.002156,0.000001,0.002155,0.002156,0.002156,5.7003,SSE4.2
16384,0.002879,0.002880,0.000002,0.002878,0.002882,0.002882,5.6905,SSE4.2
20480,0.003609,0.003608,0.000001,0.003606,0.003609,0.003609,5.6751,SSE4.2
24576,0.004329,0.004329,0.000001,0.004328,0.004331,0.004331,5.6767,SSE4.2
28672,0.005053,0.005054,0.000000,0.005053,0.005054,0.005054,5.6737,SSE4.2
32768,0.005779,0.005780,0.000001,0.005779,0.005781,0.005781,5.6700,SSE4.2
40960,0.007233,0.007237,0.000010,0.007228,0.007251,0.007251,5.6628,SSE4.2
49152,0.008681,0.008681,0.000001,0.008680,0.008682,0.008682,5.6618,SSE4.2
57344,0.010137,0.010139,0.000004,0.010135,0.010144,0.010144,5.6571,SSE4.2
65536,0.011583,0.011587,0.000006,0.011582,0.011596,0.011595,5.6578,SSE4.2
