array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000017,0.000017,0.000000,0.000017,0.000017,0.000017,30.5493,AVX
1024,0.000034,0.000034,0.000000,0.000034,0.000034,0.000034,30.3337,AVX
2048,0.000081,0.000081,0.000001,0.000081,0.000082,0.000082,25.2586,AVX
4096,0.000172,0.000172,0.000001,0.000172,0.000173,0.000173,23.7666,AVX
8192,0.000363,0.000364,0.000005,0.000359,0.000371,0.000371,22.5583,AVX
12288,0.000541,0.000543,0.000004,0.000540,0.000549,0.000548,22.7166,AVX
16384,0.000725,0.000726,0.000001,0.000725,0.000727,0.000727,22.5854,AVX
20480,0.000905,0.000905,0.000001,0.000904,0.000906,0.000906,22.6222,AVX
24576,0.001095,0.001095,0.000001,0.001093,0.001096,0.001096,22.4494,AVX
28672,0.001280,0.001279,0.000002,0.001276,0.001281,0.001281,22.4032,AVX
32768,0.001463,0.001462,0.000001,0.001461,0.001463,0.001463,22.4039,AVX
40960,0.001833,0.001832,0.000002,0.001829,0.001834,0.001834,22.3415,AVX
49152,0.002205,0.002201,0.000008,0.002190,0.002209,0.002209,22.2940,AVX
57344,0.002557,0.002557,0.000001,0.002556,0.002559,0.002558,22.4264,AVX
65536,0.002924,0.002924,0.000004,0.002919,0.002929,0.002929,22.4115,AVX
