array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000012,0.000000,0.000012,0.000012,0.000012,42.4755,AVX2
1024,0.000033,0.000034,0.000001,0.000033,0.000036,0.000036,30.7269,AVX2
2048,0.000062,0.000063,0.000000,0.000062,0.000063,0.000063,32.7714,AVX2
4096,0.000107,0.000107,0.000000,0.000107,0.000108,0.000108,38.1047,AVX2
8192,0.000200,0.000200,0.000001,0.000199,0.000201,0.000201,40.9439,AVX2
12288,0.000500,0.000503,0.000007,0.000497,0.000513,0.000513,24.5730,AVX2
16384,0.000701,0.000701,0.000003,0.000698,0.000705,0.000705,23.3730,AVX2
20480,0.000883,0.000884,0.000001,0.000883,0.000885,0.000885,23.1946,AVX2
24576,0.001064,0.001064,0.000001,0.001063,0.001066,0.001066,23.0871,AVX2
28672,0.001246,0.001246,0.000001,0.001245,0.001247,0.001247,23.0128,AVX2
32768,0.001432,0.001430,0.000003,0.001426,0.001433,0.001433,22.8840,AVX2
40960,0.001791,0.001791,0.000001,0.001790,0.001792,0.001792,22.8748,AVX2
49152,0.002155,0.002155,0.000001,0.002153,0.002156,0.002156,22.8100,AVX2
57344,0.002517,0.002517,0.000001,0.002516,0.002518,0.002518,22.7829,AVX2
65536,0.002880,0.002881,0.000002,0.002879,0.002883,0.002883,22.7572,AVX2
