array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000007,0.000007,0.000000,0.000007,0.000007,0.000007,75.7643,AVX-512F
1024,0.000013,0.000013,0.000000,0.000013,0.000013,0.000013,80.8464,AVX-512F
2048,0.000024,0.000024,0.000000,0.000024,0.000025,0.000025,83.9282,AVX-512F
4096,0.000060,0.000061,0.000001,0.000060,0.000062,0.000062,67.8150,AVX-512F
8192,0.000109,0.000108,0.000002,0.000106,0.000109,0.000109,75.0409,AVX-512F
12288,0.000241,0.000241,0.000001,0.000240,0.000242,0.000242,50.9833,AVX-512F
16384,0.000344,0.000343,0.000003,0.000340,0.000347,0.000347,47.6374,AVX-512F
20480,0.000435,0.000437,0.000004,0.000433,0.000442,0.000442,47.0300,AVX-512F
24576,0.000524,0.000525,0.000001,0.000524,0.000526,0.000525,46.8571,AVX-512F
28672,0.000619,0.000619,0.000001,0.000617,0.000620,0.000620,46.3184,AVX-512F
32768,0.000708,0.000707,0.000002,0.000704,0.000710,0.000710,46.3087,AVX-512F
40960,0.000894,0.000893,0.000002,0.000890,0.000895,0.000895,45.8053,AVX-512F
49152,0.001083,0.001081,0.000004,0.001076,0.001085,0.001085,45.3653,AVX-512F
57344,0.001258,0.001266,0.000011,0.001258,0.001282,0.001281,45.5724,AVX-512F
65536,0.001442,0.001445,0.000004,0.001442,0.001450,0.001450,45.4353,AVX-512F
