array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000176,0.000176,0.000001,0.000175,0.000178,0.000178,2.9105,Scalar
1024,0.000357,0.000357,0.000000,0.000357,0.000357,0.000357,2.8665,Scalar
2048,0.000720,0.000722,0.000002,0.000719,0.000725,0.000725,2.8432,Scalar
4096,0.001446,0.001446,0.000001,0.001444,0.001447,0.001447,2.8329,Scalar
8192,0.002908,0.002910,0.000012,0.002896,0.002925,0.002925,2.8168,Scalar
12288,0.004354,0.004353,0.000004,0.004348,0.004358,0.004358,2.8220,Scalar
16384,0.005796,0.005794,0.000004,0.005788,0.005797,0.005797,2.8267,Scalar
20480,0.007237,0.007236,0.000001,0.007235,0.007237,0.007237,2.8299,Scalar
24576,0.008684,0.008685,0.000005,0.008679,0.008691,0.008691,2.8299,Scalar
28672,0.010117,0.010121,0.000006,0.010117,0.010129,0.010129,2.8341,Scalar
32768,0.011562,0.011565,0.000006,0.011559,0.011573,0.011572,2.8342,Scalar
40960,0.014453,0.014457,0.000008,0.014450,0.014468,0.014467,2.8341,Scalar
49152,0.017348,0.017351,0.000005,0.017346,0.017358,0.017358,2.8333,Scalar
57344,0.020261,0.020263,0.000012,0.020250,0.020279,0.020279,2.8303,Scalar
65536,0.023160,0.023154,0.000025,0.023121,0.023182,0.023181,2.8297,Scalar
