array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000071,0.000072,0.000002,0.000070,0.000074,0.000074,7.2550,SSE2
1024,0.000148,0.000148,0.000000,0.000148,0.000149,0.000149,6.9229,SSE2
2048,0.000304,0.000304,0.000001,0.000303,0.000305,0.000305,6.7452,SSE2
4096,0.000615,0.000615,0.000003,0.000611,0.000618,0.000618,6.6570,SSE2
8192,0.001229,0.001230,0.000001,0.001229,0.001231,0.001231,6.6633,SSE2
12288,0.001849,0.001851,0.000002,0.001849,0.001854,0.001854,6.6448,SSE2
16384,0.002462,0.002463,0.000003,0.002461,0.002467,0.002467,6.6543,SSE2
20480,0.003082,0.003082,0.000002,0.003079,0.003085,0.003085,6.6449,SSE2
24576,0.003692,0.003692,0.000000,0.003692,0.003693,0.003693,6.6564,SSE2
28672,0.004298,0.004299,0.000004,0.004295,0.004305,0.004305,6.6714,SSE2
32768,0.004920,0.004925,0.000009,0.004917,0.004937,0.004936,6.6605,SSE2
40960,0.006154,0.006154,0.000002,0.006153,0.006156,0.006156,6.6563,SSE2
49152,0.007367,0.007367,0.000001,0.007366,0.007369,0.007369,6.6723,SSE2
57344,0.008613,0.008612,0.000004,0.008607,0.008615,0.008615,6.6577,SSE2
65536,0.009826,0.009825,0.000003,0.009821,0.009828,0.009828,6.6694,SSE2
